domain,uniq_human_visitors,uniq_bot_visitors,total_visitor_count,language_code,site_type
it.m.wikisource.org,4715,6450,11165,it,wikisource
wuu.wikipedia.org,1022,10135,11157,wuu,wikipedia
lij.wikipedia.org,345,10755,11100,lij,wikipedia
vo.wikipedia.org,216,10726,10942,vo,wikipedia
it.m.wikiquote.org,4991,5776,10767,it,wikiquote
gl.m.wikipedia.org,8144,2611,10755,gl,wikipedia
hy.m.wiktionary.org,6435,4123,10558,hy,wiktionary
tg.wikipedia.org,1059,9461,10520,tg,wikipedia
no.wikibooks.org,21,10467,10488,no,wikibooks
ckb.wikipedia.org,850,9565,10415,ckb,wikipedia
ja.m.wikibooks.org,3007,7390,10397,ja,wikibooks
hak.wikipedia.org,222,10164,10386,hak,wikipedia
he.wikibooks.org,415,9966,10381,he,wikibooks
tr.m.wiktionary.org,1943,8330,10273,tr,wiktionary
pam.wikipedia.org,277,9987,10264,pam,wikipedia
min.wikipedia.org,1399,8753,10152,min,wikipedia
olo.wikipedia.org,139,9907,10046,olo,wikipedia
nah.wikipedia.org,182,9857,10039,nah,wikipedia
ia.wikibooks.org,7,9986,9993,ia,wikibooks
kw.wikipedia.org,156,9785,9941,kw,wikipedia
zea.wikipedia.org,198,9716,9914,zea,wikipedia
es.m.wikisource.org,3873,6027,9900,es,wikisource
ml.wikipedia.org,3828,5999,9827,ml,wikipedia
nrm.wikipedia.org,152,9563,9715,nrm,wikipedia
an.wikipedia.org,1094,8597,9691,an,wikipedia
sv.m.wiktionary.org,3680,5916,9596,sv,wiktionary
gag.wikipedia.org,236,9339,9575,gag,wikipedia
pnb.wikipedia.org,497,9066,9563,pnb,wikipedia
ce.wikipedia.org,806,8683,9489,ce,wikipedia
it.wikiquote.org,1748,7652,9400,it,wikiquote
stq.wikipedia.org,163,9184,9347,stq,wikipedia
ca.wiktionary.org,1318,7952,9270,ca,wiktionary
krc.wikipedia.org,158,9023,9181,krc,wikipedia
ru.wikiquote.org,2252,6900,9152,ru,wikiquote
hu.wiktionary.org,944,8202,9146,hu,wiktionary
